,title,price,link
10,"MSI Thin 15, Intel 12th Gen. Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UC-1692IN  ","56,990",https://amazon.in//MSI-i5-12450H-Windows-GeForce-B12UC-1692IN/dp/B0CV9P2BB8/ref=sr_1_147?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-147
11,"Dell Alienware x16 Gaming Laptop, Intel Core i9 13900HK Processor/32GB/2TB SSD/NVIDIA RTX 4090 16GB GDDR6/ 16""(40.64cm) QHD+ 240Hz, 3ms, DCI-P3 100%/Win 11+MSO'21+McAfee 15 Month/Lunar Silver/2.72kg  ","4,54,290",https://amazon.in//Dell-Alienware-x16-13900HK-Processor/dp/B0C4Z7D2V9/ref=sr_1_148?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-148
12,"HP Pavilion 14, 12th Gen Intel Core i5-1235U,14-inch (35.6 cm),FHD,Touchscreen,16GB DDR4, 512GB SSD, Intel Iris Xáµ‰ Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.41 kg),dv2041TU  ","63,990",https://amazon.in//HP-Pavilion-i5-1235U-Touchscreen-Graphics/dp/B0BWSGZFYR/ref=sr_1_131?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-131
13,"HP Pavilion 14, 11th Gen Intel Core i7-1195G7, 14-inch (35.6 cm), FHD, 16GB DDR4, 1TB SSD, Intel Iris Xe graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2019, Silver, 1.41 kg), dv1029TU  ","75,900",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDE0MTU1NjQwMDk0Nzg3OjE3MjY0Mjg4NTM6c3BfYnRmOjMwMDE2NzAyOTk0NjIzMjo6MDo6&url=%2FHP-Pavilion-i7-1195G7-graphics-dv1029TU%2Fdp%2FB09TSRGZL3%2Fref%3Dsr_1_149_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428853%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-149-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
14,"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA0J6IN  ","57,490",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDE0MTU1NjQwMDk0Nzg3OjE3MjY0Mjg4NTM6c3BfYnRmOjMwMDE2NjY2NjE5ODEzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Keyboard-21KHA0J6IN%2Fdp%2FB0CZ7BFQZL%2Fref%3Dsr_1_150_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428853%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-150-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
15,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","84,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_66?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.3Q_vDo1WTm7MX1hA0CaRtMCdCDTnKeAzF7qEhp4BTNh7lICj10YCzWaCwrBhjZkUQyMmq6GNDmDaYUgw1GVGfQJCTVpiKdfKOv2KQNV29VfP5ZKGGTvaeniCW7gJnRIMqTbZFVNI7UpiVo9jof1Z_14CTX8Eo-6_3FhR7j9i6ZkX4QbyQ2AxqWuCcjdWQIZaqgXWxe-RG8pZ6r7NY03QL6a5MuGm-WpqXt5QE-bYxeg.HTpOKsZXWQAFu8iilL0Oa8rkNPI_enK_UlIaETp8s0M&dib_tag=se&keywords=laptop&qid=1726428708&sprefix=laptop%2Caps%2C218&sr=8-66
16,"HP Laptop 14s, 12th Gen Intel Core i3-1215U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD graphics, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.46 kg), dy5008TU  ","37,490",https://amazon.in//HP-i3-1215U-Graphics-Speakers-dy5008TU/dp/B0BZS88YPT/ref=sr_1_67?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.3Q_vDo1WTm7MX1hA0CaRtMCdCDTnKeAzF7qEhp4BTNh7lICj10YCzWaCwrBhjZkUQyMmq6GNDmDaYUgw1GVGfQJCTVpiKdfKOv2KQNV29VfP5ZKGGTvaeniCW7gJnRIMqTbZFVNI7UpiVo9jof1Z_14CTX8Eo-6_3FhR7j9i6ZkX4QbyQ2AxqWuCcjdWQIZaqgXWxe-RG8pZ6r7NY03QL6a5MuGm-WpqXt5QE-bYxeg.HTpOKsZXWQAFu8iilL0Oa8rkNPI_enK_UlIaETp8s0M&dib_tag=se&keywords=laptop&qid=1726428708&sprefix=laptop%2Caps%2C218&sr=8-67
17,"ASUS Vivobook Go 14 (2023), AMD Ryzen 3 7320U, Thin & Light Laptop, 14-inch (35.56 cm) FHD, (8GB RAM /512GB SSD/Windows 11/Office 2021/Alexa Built-in/Grey Green/1.38 kg), E1404FA-NK323WS  ","31,650",https://amazon.in//ASUS-Vivobook-14-inch-Windows-E1404FA-NK323WS/dp/B0C7HDXQ1C/ref=sr_1_68?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.3Q_vDo1WTm7MX1hA0CaRtMCdCDTnKeAzF7qEhp4BTNh7lICj10YCzWaCwrBhjZkUQyMmq6GNDmDaYUgw1GVGfQJCTVpiKdfKOv2KQNV29VfP5ZKGGTvaeniCW7gJnRIMqTbZFVNI7UpiVo9jof1Z_14CTX8Eo-6_3FhR7j9i6ZkX4QbyQ2AxqWuCcjdWQIZaqgXWxe-RG8pZ6r7NY03QL6a5MuGm-WpqXt5QE-bYxeg.HTpOKsZXWQAFu8iilL0Oa8rkNPI_enK_UlIaETp8s0M&dib_tag=se&keywords=laptop&qid=1726428708&sprefix=laptop%2Caps%2C218&sr=8-68
18,"Lenovo IdeaPad Slim 3 AMD Ryzen 3 7320U 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 82XQ008DIN  ","32,980",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODgxNTExNjkwMjA5NDg6MTcyNjQyODcwODpzcF9idGY6MzAwMzI0MDM2NDcwMDMyOjowOjo&url=%2FLenovo-IdeaPad-39-6cm-Windows-82XQ008DIN%2Fdp%2FB0CCP88X9Q%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.3Q_vDo1WTm7MX1hA0CaRtMCdCDTnKeAzF7qEhp4BTNh7lICj10YCzWaCwrBhjZkUQyMmq6GNDmDaYUgw1GVGfQJCTVpiKdfKOv2KQNV29VfP5ZKGGTvaeniCW7gJnRIMqTbZFVNI7UpiVo9jof1Z_14CTX8Eo-6_3FhR7j9i6ZkX4QbyQ2AxqWuCcjdWQIZaqgXWxe-RG8pZ6r7NY03QL6a5MuGm-WpqXt5QE-bYxeg.HTpOKsZXWQAFu8iilL0Oa8rkNPI_enK_UlIaETp8s0M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428708%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,"HP Laptop 15, AMD Ryzen 5 7520U, 15.6-inch (39.6 cm), FHD, 8GB LPDDR5, 512GB SSD, Thin & light, AMD Radeon graphics, Backlit KB, Dual speakers (Win 11, MSO 2021, Silver, 1.59 kg), fc0028AU  ","39,790",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODgxNTExNjkwMjA5NDg6MTcyNjQyODcwODpzcF9idGY6MzAwMzIwNzIwOTUwNjMyOjowOjo&url=%2FHP-15-6-inch-Graphics-Speakers-fc0028AU%2Fdp%2FB0BZYTPPZF%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.3Q_vDo1WTm7MX1hA0CaRtMCdCDTnKeAzF7qEhp4BTNh7lICj10YCzWaCwrBhjZkUQyMmq6GNDmDaYUgw1GVGfQJCTVpiKdfKOv2KQNV29VfP5ZKGGTvaeniCW7gJnRIMqTbZFVNI7UpiVo9jof1Z_14CTX8Eo-6_3FhR7j9i6ZkX4QbyQ2AxqWuCcjdWQIZaqgXWxe-RG8pZ6r7NY03QL6a5MuGm-WpqXt5QE-bYxeg.HTpOKsZXWQAFu8iilL0Oa8rkNPI_enK_UlIaETp8s0M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428708%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
